hotel_id,price,stock,request.city,request.date,request.language,request.mobile,request.avatar_id
917,236,279,,,,,
570,99,112,,,,,
627,98,113,,,,,
916,100,111,,,,,
807,225,278,,,,,
724,235,281,,,,,
234,137,140,,,,,
16,141,138,,,,,
169,72,56,,,,,
507,100,113,,,,,
86,103,197,,,,,
230,101,112,,,,,
430,159,194,,,,,
880,102,113,,,,,
158,141,142,,,,,
163,161,195,,,,,
111,101,112,,,,,
778,100,111,,,,,
788,100,140,,,,,
925,98,112,,,,,
429,230,284,,,,,
352,98,112,,,,,
783,79,55,,,,,
835,103,113,,,,,
369,70,56,,,,,
529,230,281,,,,,
567,72,56,,,,,
921,72,140,,,,,
52,137,138,,,,,
460,77,55,,,,,
680,139,55,,,,,
715,137,141,,,,,
172,104,111,,,,,
674,106,111,,,,,
211,136,138,,,,,
283,98,112,,,,,
779,164,196,,,,,
465,226,278,,,,,
760,163,196,,,,,
658,141,140,,,,,
45,140,140,,,,,
604,102,111,,,,,
22,137,140,,,,,
307,100,112,,,,,
450,164,193,,,,,
510,237,277,,,,,
317,161,197,,,,,
30,100,110,,,,,
933,140,138,,,,,
706,100,110,,,,,
442,162,195,,,,,
269,141,138,,,,,
373,100,112,,,,,
967,72,140,,,,,
157,235,281,,,,,
557,104,111,,,,,
264,73,56,,,,,
10,141,140,,,,,
88,104,113,,,,,
410,101,111,,,,,
77,225,278,,,,,
902,167,196,,,,,
892,167,195,,,,,
140,102,111,,,,,
82,100,110,,,,,
346,159,194,,,,,
867,137,112,,,,,
752,235,280,,,,,
103,167,195,,,,,
918,226,278,,,,,
594,233,278,,,,,
482,74,56,,,,,
475,98,112,,,,,
660,136,140,,,,,
101,232,278,,,,,
105,137,140,,,,,
212,163,193,,,,,
83,140,140,,,,,
971,141,140,,,,,
762,137,137,,,,,
945,142,138,,,,,
821,102,112,,,,,
657,162,195,,,,,
777,142,140,,,,,
253,226,275,,,,,
455,140,140,,,,,
587,141,138,,,,,
548,230,278,,,,,
878,100,140,,,,,
676,72,56,,,,,
625,168,195,,,,,
969,78,56,,,,,
685,226,278,,,,,
806,237,281,,,,,
960,237,282,,,,,
375,98,111,,,,,
581,138,55,,,,,
743,136,140,,,,,
809,225,277,,,,,
303,168,197,,,,,
387,230,279,,,,,
630,142,140,,,,,
441,168,191,,,,,
679,140,138,,,,,
585,72,57,,,,,
311,103,56,,,,,
12,72,56,,,,,
517,106,112,,,,,
224,137,140,,,,,
745,102,56,,,,,
603,226,277,,,,,
9,77,140,,,,,
193,137,111,,,,,
214,163,196,,,,,
417,141,140,,,,,
505,100,113,,,,,
591,225,279,,,,,
117,72,55,,,,,
85,100,111,,,,,
628,140,139,,,,,
34,72,57,,,,,
515,237,282,,,,,
146,168,196,,,,,
166,105,111,,,,,
588,160,140,,,,,
891,104,56,,,,,
366,72,111,,,,,
256,72,56,,,,,
223,140,139,,,,,
271,75,56,,,,,
493,140,142,,,,,
750,100,56,,,,,
218,162,193,,,,,
196,102,56,,,,,
326,226,281,,,,,
475,100,106,,,,,
264,75,53,,,,,
311,108,53,,,,,
960,237,262,,,,,
588,168,132,,,,,
346,167,182,,,,,
83,140,132,,,,,
224,138,129,,,,,
140,107,106,,,,,
806,237,261,,,,,
917,247,264,,,,,
835,103,106,,,,,
88,104,106,,,,,
724,235,263,,,,,
627,100,106,,,,,
603,237,262,,,,,
557,108,105,,,,,
45,140,130,,,,,
630,149,132,,,,,
809,236,262,,,,,
193,143,105,,,,,
417,147,133,,,,,
214,171,186,,,,,
517,112,107,,,,,
223,146,131,,,,,
625,176,183,,,,,
891,104,53,,,,,
581,141,51,,,,,
9,80,132,,,,,
867,140,106,,,,,
685,237,263,,,,,
604,107,104,,,,,
283,98,104,,,,,
172,108,104,,,,,
594,245,262,,,,,
507,100,106,,,,,
570,101,106,,,,,
157,235,262,,,,,
680,146,52,,,,,
745,104,53,,,,,
750,105,52,,,,,
111,101,105,,,,,
218,170,180,,,,,
85,104,106,,,,,
657,170,183,,,,,
430,167,183,,,,,
548,242,265,,,,,
146,168,181,,,,,
778,105,104,,,,,
783,83,52,,,,,
925,103,106,,,,,
82,105,104,,,,,
317,162,183,,,,,
567,72,52,,,,,
442,170,182,,,,,
945,149,132,,,,,
117,76,52,,,,,
86,105,184,,,,,
326,227,262,,,,,
967,74,132,,,,,
307,100,103,,,,,
22,138,130,,,,,
455,140,130,,,,,
482,77,52,,,,,
366,75,105,,,,,
230,101,104,,,,,
777,149,132,,,,,
902,167,181,,,,,
674,112,104,,,,,
103,175,183,,,,,
969,80,54,,,,,
211,143,131,,,,,
101,243,261,,,,,
212,171,181,,,,,
166,111,107,,,,,
679,146,130,,,,,
234,138,129,,,,,
375,102,105,,,,,
762,144,128,,,,,
505,100,106,,,,,
30,104,104,,,,,
253,237,257,,,,,
158,141,132,,,,,
77,236,263,,,,,
196,106,53,,,,,
921,72,130,,,,,
933,146,130,,,,,
878,103,132,,,,,
821,104,106,,,,,
916,104,104,,,,,
880,102,104,,,,,
387,242,264,,,,,
460,80,52,,,,,
410,106,104,,,,,
52,144,130,,,,,
256,74,53,,,,,
587,144,126,,,,,
352,100,105,,,,,
441,176,178,,,,,
369,73,53,,,,,
660,137,131,,,,,
373,100,104,,,,,
752,246,266,,,,,
918,237,263,,,,,
676,72,52,,,,,
760,171,186,,,,,
971,141,132,,,,,
271,77,53,,,,,
807,236,262,,,,,
515,237,263,,,,,
16,147,129,,,,,
303,168,183,,,,,
450,173,183,,,,,
465,237,264,,,,,
493,140,132,,,,,
788,105,132,,,,,
12,75,53,,,,,
34,72,53,,,,,
105,144,132,,,,,
892,175,183,,,,,
169,76,53,,,,,
658,147,132,,,,,
529,231,265,,,,,
628,146,131,,,,,
429,231,268,,,,,
10,147,130,,,,,
591,236,264,,,,,
585,73,53,,,,,
715,138,130,,,,,
163,169,183,,,,,
706,104,104,,,,,
269,147,128,,,,,
779,173,187,,,,,
743,137,130,,,,,
510,249,259,,,,,
417,152,126,,,,,
52,149,123,,,,,
867,145,100,,,,,
166,114,103,,,,,
16,152,120,,,,,
916,107,98,,,,,
85,107,101,,,,,
777,153,126,,,,,
892,180,172,,,,,
493,144,124,,,,,
917,255,248,,,,,
604,111,98,,,,,
429,238,253,,,,,
510,257,240,,,,,
715,149,124,,,,,
271,79,50,,,,,
676,75,49,,,,,
657,176,176,,,,,
211,148,124,,,,,
157,243,245,,,,,
567,75,48,,,,,
969,83,52,,,,,
460,85,49,,,,,
918,245,246,,,,,
45,151,122,,,,,
891,108,50,,,,,
515,245,240,,,,,
821,108,99,,,,,
88,107,98,,,,,
253,245,238,,,,,
317,175,174,,,,,
86,112,174,,,,,
410,110,98,,,,,
660,141,122,,,,,
105,149,125,,,,,
625,181,172,,,,,
630,153,126,,,,,
303,181,174,,,,,
101,251,245,,,,,
685,245,247,,,,,
169,78,51,,,,,
83,144,124,,,,,
971,145,124,,,,,
82,109,97,,,,,
77,244,247,,,,,
256,76,50,,,,,
603,245,248,,,,,
806,257,246,,,,,
570,104,101,,,,,
224,149,122,,,,,
706,107,97,,,,,
34,77,50,,,,,
945,153,126,,,,,
752,254,252,,,,,
548,250,253,,,,,
778,109,98,,,,,
12,78,50,,,,,
230,110,98,,,,,
430,172,174,,,,,
628,151,123,,,,,
193,148,100,,,,,
517,115,102,,,,,
933,151,121,,,,,
283,105,99,,,,,
172,112,97,,,,,
140,111,100,,,,,
375,105,99,,,,,
921,78,122,,,,,
529,238,249,,,,,
835,106,100,,,,,
724,243,246,,,,,
674,115,98,,,,,
587,156,118,,,,,
307,107,97,,,,,
591,244,246,,,,,
450,179,175,,,,,
223,151,123,,,,,
234,149,121,,,,,
594,253,250,,,,,
264,78,49,,,,,
762,149,118,,,,,
158,145,123,,,,,
30,107,97,,,,,
902,180,172,,,,,
366,78,99,,,,,
117,78,49,,,,,
9,82,124,,,,,
585,76,50,,,,,
212,177,169,,,,,
557,112,98,,,,,
163,175,173,,,,,
196,110,49,,,,,
581,152,48,,,,,
146,181,170,,,,,
482,79,49,,,,,
311,112,51,,,,,
214,177,174,,,,,
475,103,101,,,,,
269,156,122,,,,,
745,108,49,,,,,
807,244,246,,,,,
373,107,98,,,,,
505,106,100,,,,,
878,106,126,,,,,
441,181,164,,,,,
22,149,122,,,,,
455,144,122,,,,,
967,77,124,,,,,
760,177,176,,,,,
960,257,247,,,,,
779,179,178,,,,,
111,104,97,,,,,
783,86,48,,,,,
352,103,98,,,,,
103,180,172,,,,,
218,176,167,,,,,
465,245,252,,,,,
809,244,247,,,,,
442,176,172,,,,,
507,103,98,,,,,
743,148,122,,,,,
880,111,99,,,,,
10,156,122,,,,,
925,106,100,,,,,
750,109,50,,,,,
369,76,51,,,,,
387,250,250,,,,,
680,150,49,,,,,
658,152,124,,,,,
346,172,171,,,,,
788,109,124,,,,,
679,154,122,,,,,
326,234,241,,,,,
588,173,126,,,,,
627,103,100,,,,,
442,178,162,,,,,
745,109,46,,,,,
146,184,160,,,,,
166,116,99,,,,,
101,254,230,,,,,
925,108,94,,,,,
658,154,116,,,,,
366,79,92,,,,,
557,113,92,,,,,
724,246,229,,,,,
515,261,226,,,,,
892,183,161,,,,,
441,193,155,,,,,
465,248,240,,,,,
85,109,96,,,,,
625,184,158,,,,,
410,111,92,,,,,
157,246,227,,,,,
548,253,241,,,,,
311,113,49,,,,,
867,147,94,,,,,
809,247,233,,,,,
706,109,89,,,,,
921,79,114,,,,,
45,153,114,,,,,
211,150,116,,,,,
971,148,116,,,,,
352,107,93,,,,,
493,146,114,,,,,
505,108,94,,,,,
22,151,112,,,,,
223,153,115,,,,,
373,109,92,,,,,
567,76,45,,,,,
317,177,164,,,,,
430,175,165,,,,,
82,110,90,,,,,
460,87,46,,,,,
945,155,120,,,,,
303,184,166,,,,,
455,146,112,,,,,
510,261,220,,,,,
570,106,95,,,,,
750,110,46,,,,,
346,175,159,,,,,
529,242,236,,,,,
676,76,46,,,,,
916,109,91,,,,,
307,109,91,,,,,
517,117,98,,,,,
660,143,112,,,,,
256,77,47,,,,,
627,105,92,,,,,
230,111,92,,,,,
581,155,45,,,,,
169,79,48,,,,,
783,87,45,,,,,
172,113,88,,,,,
193,150,96,,,,,
878,110,120,,,,,
30,109,92,,,,,
369,77,48,,,,,
603,248,233,,,,,
375,107,93,,,,,
685,248,231,,,,,
224,151,114,,,,,
196,111,46,,,,,
835,108,93,,,,,
111,111,91,,,,,
752,258,238,,,,,
628,153,114,,,,,
86,113,164,,,,,
969,84,50,,,,,
450,182,167,,,,,
10,158,113,,,,,
283,107,94,,,,,
902,183,162,,,,,
271,80,46,,,,,
807,247,227,,,,,
475,105,94,,,,,
326,248,222,,,,,
482,81,46,,,,,
743,150,115,,,,,
83,146,117,,,,,
917,259,230,,,,,
587,165,112,,,,,
212,179,157,,,,,
967,78,114,,,,,
674,117,92,,,,,
140,112,94,,,,,
680,152,46,,,,,
657,178,168,,,,,
806,261,231,,,,,
417,154,119,,,,,
77,247,228,,,,,
9,83,115,,,,,
588,176,120,,,,,
880,112,93,,,,,
88,113,92,,,,,
253,248,217,,,,,
715,151,116,,,,,
214,179,164,,,,,
891,109,47,,,,,
507,104,91,,,,,
821,109,92,,,,,
918,248,226,,,,,
269,161,115,,,,,
117,79,46,,,,,
630,155,119,,,,,
34,78,47,,,,,
933,157,114,,,,,
218,178,153,,,,,
591,247,228,,,,,
429,242,238,,,,,
778,110,90,,,,,
234,151,114,,,,,
163,177,162,,,,,
777,155,120,,,,,
679,157,116,,,,,
760,179,168,,,,,
52,151,114,,,,,
264,79,46,,,,,
594,256,239,,,,,
387,253,234,,,,,
103,183,159,,,,,
604,112,91,,,,,
16,154,111,,,,,
105,151,118,,,,,
585,77,47,,,,,
779,182,168,,,,,
762,158,111,,,,,
788,110,116,,,,,
158,148,114,,,,,
960,261,233,,,,,
12,79,47,,,,,
387,253,219,,,,,
117,80,43,,,,,
158,154,108,,,,,
587,165,105,,,,,
916,115,86,,,,,
945,156,115,,,,,
917,272,216,,,,,
505,110,90,,,,,
311,114,47,,,,,
234,151,108,,,,,
604,112,84,,,,,
430,175,157,,,,,
762,158,104,,,,,
326,260,209,,,,,
517,117,93,,,,,
585,80,45,,,,,
450,182,158,,,,,
750,110,42,,,,,
193,150,91,,,,,
163,177,150,,,,,
658,161,109,,,,,
16,154,101,,,,,
214,179,154,,,,,
223,153,107,,,,,
779,182,156,,,,,
271,82,44,,,,,
417,154,113,,,,,
745,111,43,,,,,
902,183,153,,,,,
264,79,43,,,,,
269,165,110,,,,,
806,261,217,,,,,
230,111,85,,,,,
375,107,87,,,,,
625,184,147,,,,,
224,151,107,,,,,
715,151,108,,,,,
441,193,146,,,,,
557,119,86,,,,,
493,147,104,,,,,
548,253,229,,,,,
588,180,114,,,,,
630,159,114,,,,,
369,77,45,,,,,
918,260,213,,,,,
603,249,217,,,,,
777,156,113,,,,,
515,261,213,,,,,
172,119,82,,,,,
140,112,89,,,,,
591,259,217,,,,,
967,79,108,,,,,
680,156,44,,,,,
352,110,88,,,,,
30,112,88,,,,,
529,242,224,,,,,
460,87,43,,,,,
146,184,150,,,,,
317,177,155,,,,,
933,164,108,,,,,
835,114,88,,,,,
627,107,86,,,,,
52,151,106,,,,,
880,112,86,,,,,
783,91,42,,,,,
9,87,109,,,,,
892,183,150,,,,,
85,109,91,,,,,
88,114,84,,,,,
82,116,85,,,,,
807,248,209,,,,,
581,161,43,,,,,
366,84,87,,,,,
10,165,107,,,,,
373,109,86,,,,,
77,248,208,,,,,
103,191,150,,,,,
218,186,143,,,,,
778,112,84,,,,,
34,78,43,,,,,
12,79,44,,,,,
752,258,224,,,,,
821,115,87,,,,,
960,261,218,,,,,
921,79,106,,,,,
101,254,215,,,,,
809,248,220,,,,,
211,153,109,,,,,
346,183,151,,,,,
157,247,208,,,,,
465,249,226,,,,,
510,273,207,,,,,
196,111,43,,,,,
969,84,47,,,,,
253,260,204,,,,,
410,111,84,,,,,
685,249,216,,,,,
111,111,86,,,,,
166,116,96,,,,,
891,109,44,,,,,
