hotel_id,price,stock,request.city,request.date,request.language,request.mobile,request.avatar_id
807,216,278,amsterdam,44,croatian,0,21175
196,98,56,amsterdam,44,croatian,0,21175
482,71,56,amsterdam,44,croatian,0,21175
680,134,55,amsterdam,44,croatian,0,21175
971,135,140,amsterdam,44,croatian,0,21175
762,132,137,amsterdam,44,croatian,0,21175
455,134,140,amsterdam,44,croatian,0,21175
529,222,281,amsterdam,44,croatian,0,21175
603,217,277,amsterdam,44,croatian,0,21175
317,155,197,amsterdam,44,croatian,0,21175
410,97,111,amsterdam,44,croatian,0,21175
594,224,278,amsterdam,44,croatian,0,21175
674,102,111,amsterdam,44,croatian,0,21175
193,132,111,amsterdam,44,croatian,0,21175
581,133,55,amsterdam,44,croatian,0,21175
752,226,280,amsterdam,44,croatian,0,21175
82,96,110,amsterdam,44,croatian,0,21175
218,156,193,amsterdam,44,croatian,0,21175
628,134,139,amsterdam,44,croatian,0,21175
417,135,140,amsterdam,44,croatian,0,21175
211,131,138,amsterdam,44,croatian,0,21175
34,69,57,amsterdam,44,croatian,0,21175
166,101,111,amsterdam,44,croatian,0,21175
352,94,112,amsterdam,44,croatian,0,21175
570,95,112,amsterdam,44,croatian,0,21175
157,226,281,amsterdam,44,croatian,0,21175
657,156,195,amsterdam,44,croatian,0,21175
916,96,111,amsterdam,44,croatian,0,21175
88,100,113,amsterdam,44,croatian,0,21175
880,98,113,amsterdam,44,croatian,0,21175
52,132,138,amsterdam,44,croatian,0,21175
588,154,140,amsterdam,44,croatian,0,21175
969,75,56,amsterdam,44,croatian,0,21175
10,135,140,amsterdam,44,croatian,0,21175
557,100,111,amsterdam,44,croatian,0,21175
105,132,140,amsterdam,44,croatian,0,21175
760,157,196,amsterdam,44,croatian,0,21175
585,70,57,amsterdam,44,croatian,0,21175
967,69,140,amsterdam,44,croatian,0,21175
269,135,138,amsterdam,44,croatian,0,21175
806,228,281,amsterdam,44,croatian,0,21175
517,102,112,amsterdam,44,croatian,0,21175
45,134,140,amsterdam,44,croatian,0,21175
140,98,111,amsterdam,44,croatian,0,21175
172,100,111,amsterdam,44,croatian,0,21175
660,131,140,amsterdam,44,croatian,0,21175
835,99,113,amsterdam,44,croatian,0,21175
346,153,194,amsterdam,44,croatian,0,21175
83,134,140,amsterdam,44,croatian,0,21175
917,227,279,amsterdam,44,croatian,0,21175
627,94,113,amsterdam,44,croatian,0,21175
493,134,142,amsterdam,44,croatian,0,21175
253,217,275,amsterdam,44,croatian,0,21175
676,69,56,amsterdam,44,croatian,0,21175
146,161,196,amsterdam,44,croatian,0,21175
507,96,113,amsterdam,44,croatian,0,21175
743,131,140,amsterdam,44,croatian,0,21175
604,98,111,amsterdam,44,croatian,0,21175
685,217,278,amsterdam,44,croatian,0,21175
224,132,140,amsterdam,44,croatian,0,21175
821,98,112,amsterdam,44,croatian,0,21175
510,228,277,amsterdam,44,croatian,0,21175
783,76,55,amsterdam,44,croatian,0,21175
12,69,56,amsterdam,44,croatian,0,21175
223,134,139,amsterdam,44,croatian,0,21175
658,135,140,amsterdam,44,croatian,0,21175
515,228,282,amsterdam,44,croatian,0,21175
892,160,195,amsterdam,44,croatian,0,21175
777,136,140,amsterdam,44,croatian,0,21175
103,160,195,amsterdam,44,croatian,0,21175
230,97,112,amsterdam,44,croatian,0,21175
387,222,279,amsterdam,44,croatian,0,21175
724,226,281,amsterdam,44,croatian,0,21175
30,96,110,amsterdam,44,croatian,0,21175
85,96,111,amsterdam,44,croatian,0,21175
625,161,195,amsterdam,44,croatian,0,21175
878,96,140,amsterdam,44,croatian,0,21175
117,70,55,amsterdam,44,croatian,0,21175
918,217,278,amsterdam,44,croatian,0,21175
960,228,282,amsterdam,44,croatian,0,21175
933,134,138,amsterdam,44,croatian,0,21175
809,216,277,amsterdam,44,croatian,0,21175
311,99,56,amsterdam,44,croatian,0,21175
212,157,193,amsterdam,44,croatian,0,21175
9,74,140,amsterdam,44,croatian,0,21175
375,94,111,amsterdam,44,croatian,0,21175
450,158,193,amsterdam,44,croatian,0,21175
366,69,111,amsterdam,44,croatian,0,21175
587,135,138,amsterdam,44,croatian,0,21175
750,96,56,amsterdam,44,croatian,0,21175
441,161,191,amsterdam,44,croatian,0,21175
891,100,56,amsterdam,44,croatian,0,21175
369,67,56,amsterdam,44,croatian,0,21175
778,96,111,amsterdam,44,croatian,0,21175
745,98,56,amsterdam,44,croatian,0,21175
465,217,278,amsterdam,44,croatian,0,21175
925,95,112,amsterdam,44,croatian,0,21175
234,132,140,amsterdam,44,croatian,0,21175
567,69,56,amsterdam,44,croatian,0,21175
163,155,195,amsterdam,44,croatian,0,21175
679,134,138,amsterdam,44,croatian,0,21175
442,156,195,amsterdam,44,croatian,0,21175
326,217,281,amsterdam,44,croatian,0,21175
303,161,197,amsterdam,44,croatian,0,21175
77,216,278,amsterdam,44,croatian,0,21175
22,132,140,amsterdam,44,croatian,0,21175
867,132,112,amsterdam,44,croatian,0,21175
214,157,196,amsterdam,44,croatian,0,21175
307,96,112,amsterdam,44,croatian,0,21175
715,132,141,amsterdam,44,croatian,0,21175
945,136,138,amsterdam,44,croatian,0,21175
283,94,112,amsterdam,44,croatian,0,21175
430,153,194,amsterdam,44,croatian,0,21175
475,94,112,amsterdam,44,croatian,0,21175
921,69,140,amsterdam,44,croatian,0,21175
460,74,55,amsterdam,44,croatian,0,21175
788,96,140,amsterdam,44,croatian,0,21175
256,70,56,amsterdam,44,croatian,0,21175
264,70,56,amsterdam,44,croatian,0,21175
16,135,138,amsterdam,44,croatian,0,21175
111,97,112,amsterdam,44,croatian,0,21175
86,99,197,amsterdam,44,croatian,0,21175
169,70,56,amsterdam,44,croatian,0,21175
779,158,196,amsterdam,44,croatian,0,21175
373,96,112,amsterdam,44,croatian,0,21175
429,222,284,amsterdam,44,croatian,0,21175
101,223,278,amsterdam,44,croatian,0,21175
271,72,56,amsterdam,44,croatian,0,21175
630,136,140,amsterdam,44,croatian,0,21175
158,135,142,amsterdam,44,croatian,0,21175
902,160,196,amsterdam,44,croatian,0,21175
548,222,278,amsterdam,44,croatian,0,21175
591,216,279,amsterdam,44,croatian,0,21175
706,96,110,amsterdam,44,croatian,0,21175
505,96,113,amsterdam,44,croatian,0,21175
892,168,183,amsterdam,43,croatian,0,21175
85,100,106,amsterdam,43,croatian,0,21175
16,142,129,amsterdam,43,croatian,0,21175
172,104,104,amsterdam,43,croatian,0,21175
588,161,132,amsterdam,43,croatian,0,21175
88,100,106,amsterdam,43,croatian,0,21175
715,132,130,amsterdam,43,croatian,0,21175
674,107,104,amsterdam,43,croatian,0,21175
806,228,261,amsterdam,43,croatian,0,21175
83,134,132,amsterdam,43,croatian,0,21175
676,69,52,amsterdam,43,croatian,0,21175
630,143,132,amsterdam,43,croatian,0,21175
101,233,261,amsterdam,43,croatian,0,21175
788,101,132,amsterdam,43,croatian,0,21175
317,155,183,amsterdam,43,croatian,0,21175
103,168,183,amsterdam,43,croatian,0,21175
679,141,130,amsterdam,43,croatian,0,21175
493,134,132,amsterdam,43,croatian,0,21175
557,104,105,amsterdam,43,croatian,0,21175
158,135,132,amsterdam,43,croatian,0,21175
917,238,264,amsterdam,43,croatian,0,21175
783,80,52,amsterdam,43,croatian,0,21175
779,167,187,amsterdam,43,croatian,0,21175
193,138,105,amsterdam,43,croatian,0,21175
111,97,105,amsterdam,43,croatian,0,21175
22,132,130,amsterdam,43,croatian,0,21175
507,96,106,amsterdam,43,croatian,0,21175
218,164,180,amsterdam,43,croatian,0,21175
224,132,129,amsterdam,43,croatian,0,21175
30,100,104,amsterdam,43,croatian,0,21175
10,142,130,amsterdam,43,croatian,0,21175
211,138,131,amsterdam,43,croatian,0,21175
271,74,53,amsterdam,43,croatian,0,21175
945,143,132,amsterdam,43,croatian,0,21175
157,226,262,amsterdam,43,croatian,0,21175
352,96,105,amsterdam,43,croatian,0,21175
212,165,181,amsterdam,43,croatian,0,21175
465,228,264,amsterdam,43,croatian,0,21175
603,228,262,amsterdam,43,croatian,0,21175
971,135,132,amsterdam,43,croatian,0,21175
196,102,53,amsterdam,43,croatian,0,21175
373,96,104,amsterdam,43,croatian,0,21175
762,139,128,amsterdam,43,croatian,0,21175
760,165,186,amsterdam,43,croatian,0,21175
510,240,259,amsterdam,43,croatian,0,21175
45,134,130,amsterdam,43,croatian,0,21175
375,98,105,amsterdam,43,croatian,0,21175
567,69,52,amsterdam,43,croatian,0,21175
591,227,264,amsterdam,43,croatian,0,21175
475,96,106,amsterdam,43,croatian,0,21175
34,69,53,amsterdam,43,croatian,0,21175
627,96,106,amsterdam,43,croatian,0,21175
878,99,132,amsterdam,43,croatian,0,21175
326,218,262,amsterdam,43,croatian,0,21175
680,140,52,amsterdam,43,croatian,0,21175
230,97,104,amsterdam,43,croatian,0,21175
429,222,268,amsterdam,43,croatian,0,21175
548,232,265,amsterdam,43,croatian,0,21175
303,162,183,amsterdam,43,croatian,0,21175
460,77,52,amsterdam,43,croatian,0,21175
921,69,130,amsterdam,43,croatian,0,21175
657,164,183,amsterdam,43,croatian,0,21175
933,141,130,amsterdam,43,croatian,0,21175
777,143,132,amsterdam,43,croatian,0,21175
256,71,53,amsterdam,43,croatian,0,21175
169,73,53,amsterdam,43,croatian,0,21175
628,141,131,amsterdam,43,croatian,0,21175
778,101,104,amsterdam,43,croatian,0,21175
442,164,182,amsterdam,43,croatian,0,21175
821,100,106,amsterdam,43,croatian,0,21175
441,169,178,amsterdam,43,croatian,0,21175
880,98,104,amsterdam,43,croatian,0,21175
918,228,263,amsterdam,43,croatian,0,21175
307,96,103,amsterdam,43,croatian,0,21175
366,73,105,amsterdam,43,croatian,0,21175
52,139,130,amsterdam,43,croatian,0,21175
410,102,104,amsterdam,43,croatian,0,21175
625,169,183,amsterdam,43,croatian,0,21175
105,139,132,amsterdam,43,croatian,0,21175
750,101,52,amsterdam,43,croatian,0,21175
12,73,53,amsterdam,43,croatian,0,21175
264,73,53,amsterdam,43,croatian,0,21175
585,70,53,amsterdam,43,croatian,0,21175
658,142,132,amsterdam,43,croatian,0,21175
515,228,263,amsterdam,43,croatian,0,21175
743,131,130,amsterdam,43,croatian,0,21175
809,227,262,amsterdam,43,croatian,0,21175
529,222,265,amsterdam,43,croatian,0,21175
685,228,263,amsterdam,43,croatian,0,21175
450,167,183,amsterdam,43,croatian,0,21175
752,237,266,amsterdam,43,croatian,0,21175
604,103,104,amsterdam,43,croatian,0,21175
77,227,263,amsterdam,43,croatian,0,21175
214,165,186,amsterdam,43,croatian,0,21175
117,73,52,amsterdam,43,croatian,0,21175
745,100,53,amsterdam,43,croatian,0,21175
594,236,262,amsterdam,43,croatian,0,21175
86,101,184,amsterdam,43,croatian,0,21175
969,77,54,amsterdam,43,croatian,0,21175
455,134,130,amsterdam,43,croatian,0,21175
269,142,128,amsterdam,43,croatian,0,21175
925,99,106,amsterdam,43,croatian,0,21175
960,228,262,amsterdam,43,croatian,0,21175
517,107,107,amsterdam,43,croatian,0,21175
166,106,107,amsterdam,43,croatian,0,21175
902,161,181,amsterdam,43,croatian,0,21175
146,162,181,amsterdam,43,croatian,0,21175
581,136,51,amsterdam,43,croatian,0,21175
387,232,264,amsterdam,43,croatian,0,21175
482,74,52,amsterdam,43,croatian,0,21175
283,94,104,amsterdam,43,croatian,0,21175
163,163,183,amsterdam,43,croatian,0,21175
967,72,132,amsterdam,43,croatian,0,21175
234,132,129,amsterdam,43,croatian,0,21175
140,103,106,amsterdam,43,croatian,0,21175
223,141,131,amsterdam,43,croatian,0,21175
587,139,126,amsterdam,43,croatian,0,21175
417,142,133,amsterdam,43,croatian,0,21175
311,104,53,amsterdam,43,croatian,0,21175
660,131,131,amsterdam,43,croatian,0,21175
346,161,182,amsterdam,43,croatian,0,21175
430,161,183,amsterdam,43,croatian,0,21175
570,97,106,amsterdam,43,croatian,0,21175
916,100,104,amsterdam,43,croatian,0,21175
706,100,104,amsterdam,43,croatian,0,21175
505,96,106,amsterdam,43,croatian,0,21175
9,77,132,amsterdam,43,croatian,0,21175
724,226,263,amsterdam,43,croatian,0,21175
369,71,53,amsterdam,43,croatian,0,21175
807,227,262,amsterdam,43,croatian,0,21175
253,228,257,amsterdam,43,croatian,0,21175
82,101,104,amsterdam,43,croatian,0,21175
891,100,53,amsterdam,43,croatian,0,21175
835,99,106,amsterdam,43,croatian,0,21175
867,135,106,amsterdam,43,croatian,0,21175
778,104,98,amsterdam,42,croatian,0,21175
326,225,241,amsterdam,42,croatian,0,21175
760,170,176,amsterdam,42,croatian,0,21175
224,143,122,amsterdam,42,croatian,0,21175
880,107,99,amsterdam,42,croatian,0,21175
878,102,126,amsterdam,42,croatian,0,21175
969,80,52,amsterdam,42,croatian,0,21175
821,103,99,amsterdam,42,croatian,0,21175
10,150,122,amsterdam,42,croatian,0,21175
375,101,99,amsterdam,42,croatian,0,21175
627,99,100,amsterdam,42,croatian,0,21175
835,102,100,amsterdam,42,croatian,0,21175
311,108,51,amsterdam,42,croatian,0,21175
587,150,118,amsterdam,42,croatian,0,21175
387,240,250,amsterdam,42,croatian,0,21175
660,136,122,amsterdam,42,croatian,0,21175
867,139,100,amsterdam,42,croatian,0,21175
253,236,238,amsterdam,42,croatian,0,21175
417,146,126,amsterdam,42,croatian,0,21175
657,169,176,amsterdam,42,croatian,0,21175
679,148,122,amsterdam,42,croatian,0,21175
157,233,245,amsterdam,42,croatian,0,21175
283,101,99,amsterdam,42,croatian,0,21175
82,104,97,amsterdam,42,croatian,0,21175
706,103,97,amsterdam,42,croatian,0,21175
676,72,49,amsterdam,42,croatian,0,21175
34,74,50,amsterdam,42,croatian,0,21175
762,143,118,amsterdam,42,croatian,0,21175
111,100,97,amsterdam,42,croatian,0,21175
83,139,124,amsterdam,42,croatian,0,21175
172,108,97,amsterdam,42,croatian,0,21175
369,73,51,amsterdam,42,croatian,0,21175
230,105,98,amsterdam,42,croatian,0,21175
352,99,98,amsterdam,42,croatian,0,21175
967,74,124,amsterdam,42,croatian,0,21175
594,243,250,amsterdam,42,croatian,0,21175
85,103,101,amsterdam,42,croatian,0,21175
917,245,248,amsterdam,42,croatian,0,21175
658,146,124,amsterdam,42,croatian,0,21175
892,173,172,amsterdam,42,croatian,0,21175
529,229,249,amsterdam,42,croatian,0,21175
166,110,103,amsterdam,42,croatian,0,21175
196,105,49,amsterdam,42,croatian,0,21175
146,174,170,amsterdam,42,croatian,0,21175
902,173,172,amsterdam,42,croatian,0,21175
140,107,100,amsterdam,42,croatian,0,21175
604,107,98,amsterdam,42,croatian,0,21175
430,166,174,amsterdam,42,croatian,0,21175
163,168,173,amsterdam,42,croatian,0,21175
30,103,97,amsterdam,42,croatian,0,21175
493,139,124,amsterdam,42,croatian,0,21175
346,166,171,amsterdam,42,croatian,0,21175
117,75,49,amsterdam,42,croatian,0,21175
891,103,50,amsterdam,42,croatian,0,21175
77,235,247,amsterdam,42,croatian,0,21175
373,103,98,amsterdam,42,croatian,0,21175
750,104,50,amsterdam,42,croatian,0,21175
475,99,101,amsterdam,42,croatian,0,21175
517,111,102,amsterdam,42,croatian,0,21175
806,247,246,amsterdam,42,croatian,0,21175
628,145,123,amsterdam,42,croatian,0,21175
933,145,121,amsterdam,42,croatian,0,21175
214,170,174,amsterdam,42,croatian,0,21175
745,103,49,amsterdam,42,croatian,0,21175
570,100,101,amsterdam,42,croatian,0,21175
450,172,175,amsterdam,42,croatian,0,21175
921,75,122,amsterdam,42,croatian,0,21175
505,102,100,amsterdam,42,croatian,0,21175
625,174,172,amsterdam,42,croatian,0,21175
743,142,122,amsterdam,42,croatian,0,21175
788,104,124,amsterdam,42,croatian,0,21175
169,75,51,amsterdam,42,croatian,0,21175
916,103,98,amsterdam,42,croatian,0,21175
12,75,50,amsterdam,42,croatian,0,21175
585,73,50,amsterdam,42,croatian,0,21175
