,hotel_id,price,stock
0,111,95,112
1,807,212,278
2,224,130,140
3,169,68,56
4,587,133,138
5,591,212,279
6,103,157,195
7,515,223,282
8,925,93,112
9,971,133,140
10,588,151,140
11,311,97,56
12,85,94,111
13,821,96,112
14,627,92,113
15,517,100,112
16,373,94,112
17,529,217,281
18,82,94,110
19,430,150,194
20,760,154,196
21,429,217,284
22,326,213,281
23,10,133,140
24,317,152,197
25,264,69,56
26,234,130,140
27,105,130,140
28,603,213,277
29,891,98,56
30,9,73,140
31,921,68,140
32,211,129,138
33,916,94,111
34,724,221,281
35,783,74,55
36,387,217,279
37,570,93,112
38,163,152,195
39,658,133,140
40,303,158,197
41,269,133,138
42,585,68,57
43,157,221,281
44,630,134,140
45,117,68,55
46,88,98,113
47,777,134,140
48,441,158,191
49,902,157,196
50,417,133,140
51,493,132,142
52,253,213,275
53,223,132,139
54,657,153,195
55,158,133,142
56,809,212,277
57,475,92,112
58,283,92,112
59,581,130,55
60,867,129,112
61,193,129,111
62,166,99,111
63,218,153,193
64,375,92,111
65,172,98,111
66,212,154,193
67,369,66,56
68,706,94,110
69,806,223,281
70,880,96,113
71,625,158,195
72,366,68,111
73,30,94,110
74,779,155,196
75,969,73,56
76,83,132,140
77,346,150,194
78,967,68,140
79,680,131,55
80,835,97,113
81,146,158,196
82,743,129,140
83,101,218,278
84,510,223,277
85,945,134,138
86,196,96,56
87,307,94,112
88,788,94,140
89,22,130,140
90,750,94,56
91,505,94,113
92,960,223,282
93,52,130,138
94,628,132,139
95,352,92,112
96,679,132,138
97,271,71,56
98,878,94,140
99,660,129,140
100,567,68,56
101,214,154,196
102,86,97,197
103,12,68,56
104,77,212,278
105,410,95,111
106,256,68,56
107,594,219,278
108,557,98,111
109,917,222,279
110,676,68,56
111,507,94,113
112,140,96,111
113,892,157,195
114,715,130,141
115,482,69,56
116,450,155,193
117,16,133,138
118,460,72,55
119,762,130,137
120,465,213,278
121,685,213,278
122,34,68,57
123,752,221,280
124,933,132,138
125,455,132,140
126,442,153,195
127,45,132,140
128,778,94,111
129,745,96,56
130,674,100,111
131,230,95,112
132,548,217,278
133,918,213,278
134,604,96,111
0,510,235,259
1,945,140,132
2,223,138,131
3,505,94,106
4,111,95,105
5,465,224,264
6,307,94,103
7,34,68,53
8,567,68,52
9,346,157,182
10,529,218,265
11,706,98,104
12,517,105,107
13,12,71,53
14,821,98,106
15,193,135,105
16,587,136,126
17,917,233,264
18,660,129,131
19,676,68,52
20,788,99,132
21,430,157,183
22,224,130,129
23,557,102,105
24,902,157,181
25,264,71,53
26,369,69,53
27,82,99,104
28,762,136,128
29,45,132,130
30,88,98,106
31,625,166,183
32,891,98,53
33,169,72,53
34,83,132,132
35,778,99,104
36,674,105,104
37,9,75,132
38,493,132,132
39,326,214,262
40,30,98,104
41,603,224,262
42,630,140,132
43,256,69,53
44,211,135,131
45,809,223,262
46,752,232,266
47,878,97,132
48,117,72,52
49,105,136,132
50,971,133,132
51,627,94,106
52,212,161,181
53,585,68,53
54,969,76,54
55,10,139,130
56,283,92,104
57,918,224,263
58,103,165,183
59,724,222,263
60,967,70,132
61,867,132,106
62,760,161,186
63,366,71,105
64,311,102,53
65,373,94,104
66,548,228,265
67,269,139,128
68,77,223,263
69,594,231,262
70,807,223,262
71,779,163,187
72,680,137,52
73,507,94,106
74,375,96,105
75,52,136,130
76,482,73,52
77,750,99,52
78,960,224,262
79,429,218,268
80,588,158,132
81,85,98,106
82,234,130,129
83,658,139,132
84,460,76,52
85,892,165,183
86,570,95,106
87,515,224,263
88,745,98,53
89,214,161,186
90,140,101,106
91,628,138,131
92,475,94,106
93,387,228,264
94,22,130,130
95,604,101,104
96,230,95,104
97,591,223,264
98,441,166,178
99,835,97,106
100,218,160,180
101,880,96,104
102,196,100,53
103,715,130,130
104,172,102,104
105,86,99,184
106,442,160,182
107,417,139,133
108,163,159,183
109,916,98,104
110,455,132,130
111,271,72,53
112,352,94,105
113,581,133,51
114,450,163,183
115,101,229,261
116,933,138,130
117,743,129,130
118,679,138,130
119,783,79,52
120,925,97,106
121,317,152,183
122,685,224,263
123,657,160,183
124,410,100,104
125,16,139,129
126,921,68,130
127,158,133,132
128,157,222,262
129,253,224,257
130,806,224,261
131,146,158,181
132,303,158,183
133,777,140,132
134,166,104,107
0,706,101,97
1,945,145,126
2,594,238,250
3,146,171,170
4,505,100,100
5,809,230,247
6,366,73,99
7,52,140,123
8,283,99,99
9,969,78,52
10,373,101,98
11,630,145,126
12,760,167,176
13,762,140,118
14,223,142,123
15,9,78,124
16,783,81,48
17,604,104,98
18,234,140,121
19,482,75,49
20,878,100,126
21,410,103,98
22,211,139,124
23,264,73,49
24,658,143,124
25,34,72,50
26,627,97,100
27,450,169,175
28,172,105,97
29,510,243,240
30,269,147,122
31,715,140,124
32,925,100,100
33,442,166,172
34,317,165,174
35,867,137,100
36,625,171,172
37,588,163,126
38,429,225,253
39,724,229,246
40,157,229,245
41,105,140,125
42,430,162,174
43,163,165,173
44,778,102,98
45,30,101,97
46,166,108,103
47,657,166,176
48,892,170,172
49,271,74,50
50,628,142,123
51,22,140,122
52,460,80,49
53,548,235,253
54,529,225,249
55,196,103,49
56,441,171,164
57,117,74,49
58,417,143,126
59,750,102,50
60,83,136,124
61,369,71,51
62,193,140,100
63,507,97,98
64,303,171,174
65,10,147,122
66,326,220,241
67,660,133,122
68,311,105,51
69,86,105,174
70,916,101,98
71,515,231,240
72,971,137,124
73,517,109,102
74,676,70,49
75,788,102,124
76,585,72,50
77,111,98,97
78,12,73,50
79,603,231,248
80,214,167,174
81,218,166,167
82,224,140,122
83,807,230,246
84,902,170,172
85,567,70,48
86,680,142,49
87,101,236,245
88,806,243,246
89,557,105,98
90,570,98,101
91,85,101,101
92,212,167,169
93,685,231,247
94,375,99,99
95,82,102,97
96,835,100,100
97,346,162,171
98,256,72,50
99,77,230,247
100,455,136,122
101,103,170,172
102,45,142,122
103,493,136,124
104,933,142,121
105,591,230,246
106,140,104,100
107,752,239,252
108,307,101,97
109,743,139,122
110,88,101,98
111,921,73,122
112,158,137,123
113,679,146,122
114,745,101,49
115,777,145,126
116,465,231,252
117,581,144,48
118,169,74,51
119,387,235,250
120,16,143,120
121,352,97,98
122,880,104,99
123,587,147,118
124,891,101,50
125,779,169,178
126,960,243,247
127,821,101,99
128,475,97,101
129,917,241,248
130,967,72,124
131,918,231,246
132,230,103,98
133,674,109,98
134,253,231,238
0,22,142,112
1,269,152,115
2,891,103,47
3,105,142,118
4,517,110,98
5,475,99,94
6,777,147,120
7,12,74,47
8,515,246,226
9,778,104,90
10,373,103,92
11,442,168,162
12,196,105,46
13,594,242,239
14,588,166,120
15,77,233,228
16,967,73,114
17,140,106,94
18,933,148,114
19,918,234,226
20,212,169,157
21,752,243,238
22,821,103,92
23,101,240,230
24,657,168,168
25,482,76,46
26,806,246,231
27,146,173,160
28,366,74,92
29,193,142,96
30,117,75,46
31,103,172,159
32,465,234,240
33,430,165,165
34,346,165,159
35,835,102,93
36,529,228,236
37,283,101,94
38,867,138,94
39,271,76,46
40,743,141,115
41,387,239,234
42,417,145,119
43,715,142,116
44,450,171,167
45,960,246,233
46,807,233,227
47,917,244,230
48,82,104,90
49,234,142,114
50,591,233,228
51,676,71,46
52,724,232,229
53,224,142,114
54,548,239,241
55,169,75,48
56,581,146,45
57,630,147,119
58,441,182,155
59,880,106,93
60,925,102,94
61,256,73,47
62,878,104,120
63,603,234,233
64,311,107,49
65,680,144,46
66,264,74,46
67,493,138,114
68,658,145,116
69,172,107,88
70,706,103,89
71,166,109,99
72,587,155,112
73,585,73,47
74,16,145,111
75,660,135,112
76,604,106,91
77,567,71,45
78,303,173,166
79,809,233,233
80,892,172,161
81,779,171,168
82,30,103,92
83,317,167,164
84,88,107,92
85,429,228,238
86,157,232,227
87,507,98,91
88,916,103,91
89,214,169,164
90,570,100,95
91,783,82,45
92,326,234,222
93,218,168,153
94,510,246,220
95,760,169,168
96,410,105,92
97,85,103,96
98,307,103,91
99,86,107,164
100,902,172,162
101,230,105,92
102,679,148,116
103,83,138,117
104,921,74,114
105,750,104,46
106,9,79,115
107,375,101,93
108,158,139,114
109,34,73,47
110,163,167,162
111,945,147,120
112,223,144,115
113,455,138,112
114,52,142,114
115,557,107,92
116,505,102,94
117,969,79,50
118,762,149,111
119,369,72,48
120,628,144,114
121,788,104,116
122,253,234,217
123,971,139,116
124,674,110,92
125,460,82,46
126,352,101,93
127,211,141,116
128,111,105,91
129,627,99,92
130,625,173,158
131,745,103,46
132,45,144,114
133,10,149,113
134,685,234,231
0,745,105,43
1,158,146,108
2,12,75,44
3,223,145,107
4,680,147,44
5,760,169,160
6,945,147,115
7,271,78,44
8,630,150,114
9,892,172,150
10,933,154,108
11,455,145,105
12,660,141,104
13,835,107,88
14,45,145,106
15,585,75,45
16,587,155,105
17,307,103,84
18,743,141,107
19,172,112,82
20,430,165,157
21,77,233,208
22,352,104,88
23,570,100,88
24,82,109,85
25,441,182,146
26,442,168,154
27,9,82,109
28,685,235,216
29,417,146,113
30,85,103,91
31,196,105,43
32,752,243,224
33,916,108,86
34,264,75,43
35,925,102,89
36,777,147,113
37,750,104,42
38,529,228,224
39,921,75,106
40,603,235,217
41,706,108,84
42,211,145,109
43,52,142,106
44,657,168,160
45,594,242,229
46,218,176,143
47,971,139,108
48,806,246,217
49,809,233,220
50,311,107,47
51,166,109,96
52,450,171,158
53,140,106,89
54,676,71,43
55,625,173,147
56,505,104,90
57,567,75,43
58,163,167,150
59,778,106,84
60,101,240,215
61,34,73,43
62,88,107,84
63,16,146,101
64,375,101,87
65,230,105,85
66,157,232,208
67,880,106,86
68,465,235,226
69,627,101,86
70,581,152,43
71,111,105,86
72,387,239,219
73,779,171,156
74,253,245,204
75,510,257,207
76,369,72,45
77,86,109,157
78,783,86,42
79,366,79,87
80,588,170,114
81,269,155,110
82,346,172,151
83,224,142,107
84,960,246,218
85,878,104,114
86,891,103,44
87,604,106,84
88,10,155,107
89,628,151,107
90,212,178,148
91,515,246,213
92,658,152,109
93,214,169,154
94,807,233,209
95,762,149,104
96,410,105,84
97,193,142,91
98,548,239,229
99,969,79,47
100,517,110,93
101,30,106,88
102,715,142,108
103,917,256,216
104,821,108,87
105,234,142,108
106,475,99,89
107,103,180,150
108,902,172,153
109,967,75,108
110,303,173,158
111,557,112,86
112,317,167,155
113,169,77,46
114,105,142,110
115,326,245,209
116,724,243,215
117,493,138,104
118,256,77,44
119,429,228,225
120,22,142,101
121,146,173,150
122,117,75,43
123,373,103,86
124,591,244,217
125,460,82,43
126,918,245,213
0,821,108,82
1,724,243,200
2,680,151,42
3,902,172,145
4,455,145,98
5,429,228,213
