hotel_id,price,stock,city,date,language,mobile,avatar_id,avatar_name
512,251,0,valletta,0,hungarian,0,295223,G1Y50A
363,156,0,valletta,0,hungarian,0,295223,G1Y50A
985,70,0,valletta,0,hungarian,0,295223,G1Y50A
718,154,0,valletta,0,hungarian,0,295223,G1Y50A
749,118,0,valletta,0,hungarian,0,295223,G1Y50A
376,266,0,valletta,0,hungarian,0,295223,G1Y50A
209,68,0,valletta,0,hungarian,0,295223,G1Y50A
371,94,0,valletta,0,hungarian,0,295223,G1Y50A
504,182,0,valletta,0,hungarian,0,295223,G1Y50A
592,378,0,valletta,0,hungarian,0,295223,G1Y50A
237,160,0,valletta,0,hungarian,0,295223,G1Y50A
360,188,0,valletta,0,hungarian,0,295223,G1Y50A
466,159,0,valletta,0,hungarian,0,295223,G1Y50A
480,71,0,valletta,0,hungarian,0,295223,G1Y50A
501,86,0,valletta,0,hungarian,0,295223,G1Y50A
709,132,0,valletta,0,hungarian,0,295223,G1Y50A
81,156,0,valletta,0,hungarian,0,295223,G1Y50A
106,159,8,valletta,0,hungarian,0,295223,G1Y50A
134,75,0,valletta,0,hungarian,0,295223,G1Y50A
244,376,0,valletta,0,hungarian,0,295223,G1Y50A
295,70,0,valletta,0,hungarian,0,295223,G1Y50A
732,188,0,valletta,0,hungarian,0,295223,G1Y50A
965,156,0,valletta,0,hungarian,0,295223,G1Y50A
55,117,0,valletta,0,hungarian,0,295223,G1Y50A
598,135,0,valletta,0,hungarian,0,295223,G1Y50A
377,133,0,valletta,0,hungarian,0,295223,G1Y50A
832,151,0,valletta,0,hungarian,0,295223,G1Y50A
200,125,4,valletta,0,hungarian,0,295223,G1Y50A
746,154,1,valletta,0,hungarian,0,295223,G1Y50A
282,154,0,valletta,0,hungarian,0,295223,G1Y50A
719,266,0,valletta,0,hungarian,0,295223,G1Y50A
476,118,8,valletta,0,hungarian,0,295223,G1Y50A
905,156,0,valletta,0,hungarian,0,295223,G1Y50A
325,96,0,valletta,0,hungarian,0,295223,G1Y50A
404,133,0,valletta,0,hungarian,0,295223,G1Y50A
400,93,6,valletta,0,hungarian,0,295223,G1Y50A
521,82,0,valletta,0,hungarian,0,295223,G1Y50A
988,157,0,valletta,0,hungarian,0,295223,G1Y50A
861,213,2,valletta,0,hungarian,0,295223,G1Y50A
334,77,0,valletta,0,hungarian,0,295223,G1Y50A
424,264,0,valletta,0,hungarian,0,295223,G1Y50A
859,132,0,valletta,0,hungarian,0,295223,G1Y50A
643,74,0,valletta,0,hungarian,0,295223,G1Y50A
639,260,0,valletta,0,hungarian,0,295223,G1Y50A
244,376,1,valletta,1,hungarian,0,295224,OHF51U
400,93,8,valletta,1,hungarian,0,295224,OHF51U
988,157,0,valletta,1,hungarian,0,295224,OHF51U
334,77,0,valletta,1,hungarian,0,295224,OHF51U
360,188,1,valletta,1,hungarian,0,295224,OHF51U
282,154,0,valletta,1,hungarian,0,295224,OHF51U
643,74,0,valletta,1,hungarian,0,295224,OHF51U
504,182,1,valletta,1,hungarian,0,295224,OHF51U
325,96,0,valletta,1,hungarian,0,295224,OHF51U
905,156,0,valletta,1,hungarian,0,295224,OHF51U
861,213,3,valletta,1,hungarian,0,295224,OHF51U
200,125,6,valletta,1,hungarian,0,295224,OHF51U
512,251,1,valletta,1,hungarian,0,295224,OHF51U
55,117,0,valletta,1,hungarian,0,295224,OHF51U
476,118,9,valletta,1,hungarian,0,295224,OHF51U
295,70,0,valletta,1,hungarian,0,295224,OHF51U
106,159,9,valletta,1,hungarian,0,295224,OHF51U
466,159,0,valletta,1,hungarian,0,295224,OHF51U
377,133,0,valletta,1,hungarian,0,295224,OHF51U
709,132,0,valletta,1,hungarian,0,295224,OHF51U
985,70,0,valletta,1,hungarian,0,295224,OHF51U
732,188,1,valletta,1,hungarian,0,295224,OHF51U
237,160,1,valletta,1,hungarian,0,295224,OHF51U
859,132,0,valletta,1,hungarian,0,295224,OHF51U
371,94,0,valletta,1,hungarian,0,295224,OHF51U
718,154,0,valletta,1,hungarian,0,295224,OHF51U
480,71,0,valletta,1,hungarian,0,295224,OHF51U
363,156,0,valletta,1,hungarian,0,295224,OHF51U
965,156,1,valletta,1,hungarian,0,295224,OHF51U
501,86,0,valletta,1,hungarian,0,295224,OHF51U
592,378,1,valletta,1,hungarian,0,295224,OHF51U
639,260,1,valletta,1,hungarian,0,295224,OHF51U
376,266,1,valletta,1,hungarian,0,295224,OHF51U
746,154,2,valletta,1,hungarian,0,295224,OHF51U
598,135,0,valletta,1,hungarian,0,295224,OHF51U
424,264,1,valletta,1,hungarian,0,295224,OHF51U
749,118,0,valletta,1,hungarian,0,295224,OHF51U
832,151,0,valletta,1,hungarian,0,295224,OHF51U
134,75,0,valletta,1,hungarian,0,295224,OHF51U
209,68,0,valletta,1,hungarian,0,295224,OHF51U
521,82,0,valletta,1,hungarian,0,295224,OHF51U
719,266,1,valletta,1,hungarian,0,295224,OHF51U
404,133,0,valletta,1,hungarian,0,295224,OHF51U
81,156,0,valletta,1,hungarian,0,295224,OHF51U
377,133,0,valletta,2,hungarian,0,295225,W021U1
859,132,0,valletta,2,hungarian,0,295225,W021U1
598,135,0,valletta,2,hungarian,0,295225,W021U1
295,70,0,valletta,2,hungarian,0,295225,W021U1
832,151,0,valletta,2,hungarian,0,295225,W021U1
719,266,1,valletta,2,hungarian,0,295225,W021U1
81,156,2,valletta,2,hungarian,0,295225,W021U1
639,260,1,valletta,2,hungarian,0,295225,W021U1
643,74,0,valletta,2,hungarian,0,295225,W021U1
134,75,0,valletta,2,hungarian,0,295225,W021U1
200,125,6,valletta,2,hungarian,0,295225,W021U1
476,118,10,valletta,2,hungarian,0,295225,W021U1
334,77,0,valletta,2,hungarian,0,295225,W021U1
244,376,2,valletta,2,hungarian,0,295225,W021U1
282,154,2,valletta,2,hungarian,0,295225,W021U1
905,156,0,valletta,2,hungarian,0,295225,W021U1
985,70,1,valletta,2,hungarian,0,295225,W021U1
466,159,0,valletta,2,hungarian,0,295225,W021U1
376,266,1,valletta,2,hungarian,0,295225,W021U1
521,82,1,valletta,2,hungarian,0,295225,W021U1
55,117,0,valletta,2,hungarian,0,295225,W021U1
209,68,0,valletta,2,hungarian,0,295225,W021U1
106,159,10,valletta,2,hungarian,0,295225,W021U1
732,188,3,valletta,2,hungarian,0,295225,W021U1
965,156,2,valletta,2,hungarian,0,295225,W021U1
512,251,1,valletta,2,hungarian,0,295225,W021U1
371,94,0,valletta,2,hungarian,0,295225,W021U1
404,133,0,valletta,2,hungarian,0,295225,W021U1
400,93,10,valletta,2,hungarian,0,295225,W021U1
360,188,3,valletta,2,hungarian,0,295225,W021U1
988,157,0,valletta,2,hungarian,0,295225,W021U1
237,160,2,valletta,2,hungarian,0,295225,W021U1
592,378,2,valletta,2,hungarian,0,295225,W021U1
718,154,0,valletta,2,hungarian,0,295225,W021U1
861,213,4,valletta,2,hungarian,0,295225,W021U1
749,118,0,valletta,2,hungarian,0,295225,W021U1
480,71,0,valletta,2,hungarian,0,295225,W021U1
501,86,0,valletta,2,hungarian,0,295225,W021U1
504,182,3,valletta,2,hungarian,0,295225,W021U1
325,96,0,valletta,2,hungarian,0,295225,W021U1
746,154,4,valletta,2,hungarian,0,295225,W021U1
424,264,1,valletta,2,hungarian,0,295225,W021U1
709,132,0,valletta,2,hungarian,0,295225,W021U1
363,156,2,valletta,2,hungarian,0,295225,W021U1
424,264,2,valletta,3,hungarian,0,295226,PY4LFI
988,157,2,valletta,3,hungarian,0,295226,PY4LFI
643,74,0,valletta,3,hungarian,0,295226,PY4LFI
521,82,1,valletta,3,hungarian,0,295226,PY4LFI
592,378,3,valletta,3,hungarian,0,295226,PY4LFI
832,151,0,valletta,3,hungarian,0,295226,PY4LFI
732,188,4,valletta,3,hungarian,0,295226,PY4LFI
639,260,2,valletta,3,hungarian,0,295226,PY4LFI
200,125,8,valletta,3,hungarian,0,295226,PY4LFI
334,77,0,valletta,3,hungarian,0,295226,PY4LFI
371,94,0,valletta,3,hungarian,0,295226,PY4LFI
360,188,4,valletta,3,hungarian,0,295226,PY4LFI
709,132,0,valletta,3,hungarian,0,295226,PY4LFI
282,154,2,valletta,3,hungarian,0,295226,PY4LFI
718,154,0,valletta,3,hungarian,0,295226,PY4LFI
377,133,0,valletta,3,hungarian,0,295226,PY4LFI
404,133,0,valletta,3,hungarian,0,295226,PY4LFI
512,251,2,valletta,3,hungarian,0,295226,PY4LFI
466,159,0,valletta,3,hungarian,0,295226,PY4LFI
400,93,11,valletta,3,hungarian,0,295226,PY4LFI
81,156,2,valletta,3,hungarian,0,295226,PY4LFI
719,266,2,valletta,3,hungarian,0,295226,PY4LFI
965,156,3,valletta,3,hungarian,0,295226,PY4LFI
861,213,4,valletta,3,hungarian,0,295226,PY4LFI
134,75,0,valletta,3,hungarian,0,295226,PY4LFI
295,70,0,valletta,3,hungarian,0,295226,PY4LFI
237,160,3,valletta,3,hungarian,0,295226,PY4LFI
504,182,4,valletta,3,hungarian,0,295226,PY4LFI
746,154,5,valletta,3,hungarian,0,295226,PY4LFI
106,159,10,valletta,3,hungarian,0,295226,PY4LFI
55,117,0,valletta,3,hungarian,0,295226,PY4LFI
749,118,0,valletta,3,hungarian,0,295226,PY4LFI
985,66,2,valletta,3,hungarian,0,295226,PY4LFI
598,135,0,valletta,3,hungarian,0,295226,PY4LFI
859,132,0,valletta,3,hungarian,0,295226,PY4LFI
244,376,3,valletta,3,hungarian,0,295226,PY4LFI
363,156,2,valletta,3,hungarian,0,295226,PY4LFI
376,266,2,valletta,3,hungarian,0,295226,PY4LFI
501,86,0,valletta,3,hungarian,0,295226,PY4LFI
905,156,0,valletta,3,hungarian,0,295226,PY4LFI
209,68,0,valletta,3,hungarian,0,295226,PY4LFI
476,118,11,valletta,3,hungarian,0,295226,PY4LFI
480,71,0,valletta,3,hungarian,0,295226,PY4LFI
325,96,0,valletta,3,hungarian,0,295226,PY4LFI
639,260,3,valletta,4,hungarian,0,295227,89R7IV
363,156,4,valletta,4,hungarian,0,295227,89R7IV
480,71,0,valletta,4,hungarian,0,295227,89R7IV
377,133,0,valletta,4,hungarian,0,295227,89R7IV
512,251,3,valletta,4,hungarian,0,295227,89R7IV
746,154,6,valletta,4,hungarian,0,295227,89R7IV
376,266,3,valletta,4,hungarian,0,295227,89R7IV
476,118,11,valletta,4,hungarian,0,295227,89R7IV
832,151,0,valletta,4,hungarian,0,295227,89R7IV
592,378,4,valletta,4,hungarian,0,295227,89R7IV
521,82,2,valletta,4,hungarian,0,295227,89R7IV
371,94,0,valletta,4,hungarian,0,295227,89R7IV
719,233,3,valletta,4,hungarian,0,295227,89R7IV
424,264,3,valletta,4,hungarian,0,295227,89R7IV
200,125,8,valletta,4,hungarian,0,295227,89R7IV
988,157,3,valletta,4,hungarian,0,295227,89R7IV
504,182,6,valletta,4,hungarian,0,295227,89R7IV
55,117,0,valletta,4,hungarian,0,295227,89R7IV
334,77,0,valletta,4,hungarian,0,295227,89R7IV
81,156,4,valletta,4,hungarian,0,295227,89R7IV
244,376,4,valletta,4,hungarian,0,295227,89R7IV
861,213,5,valletta,4,hungarian,0,295227,89R7IV
360,188,6,valletta,4,hungarian,0,295227,89R7IV
749,118,0,valletta,4,hungarian,0,295227,89R7IV
709,132,0,valletta,4,hungarian,0,295227,89R7IV
295,70,0,valletta,4,hungarian,0,295227,89R7IV
209,68,0,valletta,4,hungarian,0,295227,89R7IV
404,133,0,valletta,4,hungarian,0,295227,89R7IV
732,188,6,valletta,4,hungarian,0,295227,89R7IV
985,66,4,valletta,4,hungarian,0,295227,89R7IV
134,75,0,valletta,4,hungarian,0,295227,89R7IV
501,86,1,valletta,4,hungarian,0,295227,89R7IV
