,hotel_id,price,stock
0,898,86,56
1,951,81,111
2,348,157,140
3,865,268,278
4,60,87,56
5,826,190,195
6,691,82,113
7,818,160,140
8,445,83,56
9,983,84,56
10,463,90,56
11,365,87,55
12,243,90,57
13,519,186,197
14,876,112,111
15,100,81,55
16,251,153,55
17,435,259,279
18,90,159,140
19,405,90,55
20,497,187,195
21,596,157,138
22,401,156,142
23,761,116,112
24,329,190,196
25,335,84,113
26,831,85,56
27,23,157,140
28,350,263,275
29,487,160,140
30,407,186,192
31,391,157,140
32,508,189,197
33,893,182,195
34,978,266,279
35,50,119,111
36,805,160,139
37,938,113,56
38,766,260,279
39,385,263,282
40,267,160,139
41,669,189,195
42,110,160,140
43,771,266,280
44,78,258,276
45,514,259,279
46,770,187,200
47,562,192,195
48,716,114,110
49,900,187,197
50,291,190,197
51,547,160,139
52,556,162,138
53,559,190,194
54,481,88,56
55,872,90,56
56,922,190,193
57,433,114,112
58,113,82,56
59,959,182,197
60,727,113,56
61,622,119,112
62,443,116,113
63,834,84,55
64,402,120,110
65,318,112,110
66,523,82,112
67,53,87,56
68,431,114,111
69,91,120,56
70,772,260,280
71,930,111,140
72,506,118,56
73,202,157,141
74,124,258,280
75,812,159,141
76,720,260,279
77,995,190,197
78,707,266,279
79,518,114,111
80,611,162,139
81,908,268,275
82,830,82,112
83,793,156,56
84,695,160,139
85,349,186,195
86,532,190,195
87,249,81,140
88,744,157,140
89,869,262,278
90,153,186,194
91,572,184,197
92,539,269,284
93,664,263,281
94,319,265,279
95,531,162,139
96,36,179,112
97,952,87,56
98,849,157,138
99,958,190,193
100,280,119,111
101,698,184,195
102,546,85,112
103,422,268,276
104,757,120,114
105,96,120,111
106,981,87,56
107,528,260,278
108,309,87,111
109,690,192,196
110,358,184,193
111,122,269,280
112,425,186,196
113,367,89,56
114,894,268,281
115,829,160,139
116,688,81,114
117,638,154,112
118,289,111,111
119,541,116,111
120,1,88,112
121,99,160,140
122,142,272,277
123,989,86,56
124,616,157,139
125,994,159,138
126,300,116,112
127,624,186,195
128,973,159,140
129,194,110,56
130,855,187,196
131,726,259,283
132,961,182,195
133,332,186,196
134,32,162,139
135,990,156,138
136,844,262,281
137,92,85,56
138,43,82,142
139,434,90,56
140,711,116,112
141,655,260,278
142,6,111,112
143,58,189,194
0,78,270,259
1,688,81,106
2,727,116,52
3,771,279,265
4,865,282,263
5,898,88,53
6,829,169,129
7,300,116,106
8,695,169,132
9,391,157,130
10,523,82,106
11,142,285,259
12,958,200,181
13,900,187,183
14,611,170,132
15,638,163,107
16,547,169,132
17,893,191,186
18,872,95,53
19,100,85,51
20,793,160,53
21,849,166,130
22,770,187,189
23,691,84,107
24,99,160,129
25,818,165,132
26,831,90,53
27,669,198,185
28,894,269,264
29,497,197,184
30,348,157,130
31,402,122,101
32,267,169,132
33,959,183,183
34,812,159,129
35,332,194,186
36,309,92,105
37,981,91,53
38,350,276,257
39,431,119,104
40,622,124,107
41,435,272,263
42,556,170,131
43,434,90,53
44,539,270,267
45,698,193,185
46,951,85,106
47,506,118,54
48,53,90,52
49,757,120,107
50,519,186,182
51,36,188,106
52,23,166,131
53,938,119,53
54,876,118,106
55,826,200,186
56,531,170,132
57,445,85,53
58,443,116,105
59,922,200,181
60,407,194,180
61,58,198,184
62,6,117,106
63,559,200,183
64,572,184,183
65,251,160,51
66,1,91,105
67,329,190,181
68,830,84,104
69,487,160,130
70,43,82,132
71,546,85,104
72,367,94,53
73,532,200,183
74,202,157,132
75,772,260,264
76,124,270,265
77,995,190,183
78,989,86,52
79,405,95,51
80,961,191,185
81,110,160,132
82,952,90,53
83,562,201,184
84,541,121,104
85,153,194,182
86,744,162,132
87,726,259,266
88,908,282,257
89,844,262,262
90,335,84,105
91,401,156,134
92,481,93,52
93,32,170,130
94,318,118,103
95,349,194,184
96,508,189,184
97,690,201,183
98,990,164,130
99,596,166,128
100,319,278,264
101,855,197,186
102,624,194,184
103,365,92,52
104,766,273,263
105,983,88,52
106,707,279,264
107,113,84,52
108,930,117,132
109,385,264,264
110,869,275,262
111,978,279,261
112,433,114,104
113,289,117,106
114,122,283,265
115,514,272,265
116,761,116,104
117,711,121,107
118,243,90,53
119,528,273,263
120,655,273,263
121,194,116,53
122,422,282,259
123,664,264,259
124,92,88,53
125,90,167,133
126,358,193,181
127,96,126,104
128,616,166,132
129,425,194,186
130,805,169,132
131,280,124,106
132,716,119,102
133,60,92,52
134,249,85,132
135,91,122,53
136,994,167,130
137,518,119,104
138,291,190,184
139,463,92,52
140,720,273,265
141,50,124,106
142,973,167,132
143,834,88,52
0,951,88,100
1,772,269,248
2,433,123,99
3,110,166,126
4,96,131,98
5,894,278,244
6,541,125,96
7,348,171,125
8,532,206,174
9,434,93,49
10,978,289,240
11,995,206,173
12,908,291,238
13,624,201,172
14,622,128,102
15,698,200,173
16,50,128,101
17,243,93,50
18,431,123,98
19,497,203,172
20,766,282,247
21,983,91,49
22,291,196,172
23,990,169,123
24,981,94,51
25,365,95,49
26,367,97,50
27,407,201,167
28,53,95,50
29,113,89,49
30,523,85,100
31,531,176,126
32,249,88,125
33,959,197,173
34,938,123,49
35,952,92,49
36,463,98,49
37,669,204,174
38,443,125,99
39,300,120,98
40,422,291,243
41,58,204,174
42,319,287,251
43,844,271,242
44,405,98,48
45,900,203,174
46,124,279,253
47,43,87,124
48,122,292,251
49,989,93,48
50,425,201,178
51,691,87,101
52,958,206,169
53,898,91,50
54,865,291,250
55,194,119,50
56,611,176,125
57,572,190,168
58,793,166,50
59,528,282,249
60,638,168,102
61,830,89,98
62,481,96,49
63,90,172,126
64,267,174,122
65,153,201,170
66,930,120,124
67,92,90,50
68,385,272,247
69,770,193,180
70,559,206,172
71,872,98,49
72,547,174,126
73,518,123,98
74,961,197,176
75,60,95,49
76,289,120,100
