,hotel_id,price,stock
0,883,87,192
1,137,38,56
2,597,125,283
3,554,38,140
4,190,40,55
5,815,123,279
6,862,56,111
7,416,74,140
8,141,74,139
9,968,88,192
10,143,54,112
11,984,52,55
12,470,55,112
13,852,40,55
14,653,85,197
15,262,72,140
16,574,54,56
17,201,74,140
18,208,55,56
19,472,38,193
20,272,41,56
21,814,119,277
22,764,55,55
23,109,73,140
24,899,72,138
25,181,74,138
26,270,86,196
27,287,124,279
28,649,123,284
29,608,74,138
30,302,52,137
31,13,52,56
32,4,36,56
33,353,41,56
34,923,39,111
35,383,37,140
36,871,73,140
37,107,40,55
38,145,73,139
39,542,55,113
40,683,74,140
41,590,72,142
42,337,72,138
43,578,85,196
44,665,52,112
45,459,72,138
46,637,54,56
47,553,84,56
48,304,86,197
49,601,53,112
50,44,40,56
51,203,86,197
52,802,71,112
53,25,120,281
54,799,38,57
55,544,55,56
0,302,55,129
1,13,54,53
2,208,56,53
3,472,40,180
4,764,58,52
5,862,59,104
6,608,78,130
7,968,93,178
8,871,76,132
9,578,85,181
10,653,85,184
11,337,77,128
12,459,77,130
13,574,57,53
14,287,130,263
15,304,86,184
16,590,73,132
17,597,126,267
18,683,77,132
19,799,38,54
20,416,77,132
21,553,88,53
22,544,56,53
23,883,91,181
24,143,54,105
25,802,75,106
26,923,41,104
27,470,57,106
28,899,77,130
29,25,121,265
30,4,38,53
31,852,42,52
32,262,73,130
33,190,42,51
34,44,40,52
35,554,39,130
36,383,39,132
37,542,56,106
38,815,129,262
39,181,78,132
40,649,124,266
41,814,126,264
42,270,86,183
43,665,52,105
44,984,55,52
45,137,40,53
46,141,78,132
47,601,53,104
48,109,77,132
49,107,42,52
50,353,42,53
51,637,55,52
52,201,75,128
53,145,77,132
54,272,42,54
55,203,86,185
0,270,89,170
1,459,79,122
2,542,58,99
3,44,44,49
4,637,59,50
5,814,130,251
6,143,56,98
7,665,54,99
8,181,81,125
9,470,59,100
10,208,58,49
11,578,92,169
12,871,78,124
13,764,60,49
14,601,57,97
15,190,46,48
16,553,91,50
17,25,125,249
18,262,79,123
19,923,43,98
20,544,58,50
21,554,42,120
22,472,43,169
23,653,88,172
24,201,80,120
25,802,77,100
26,304,89,174
27,13,56,50
28,649,128,249
29,302,57,120
30,137,42,51
31,383,41,125
32,353,44,50
33,109,80,124
34,574,59,50
35,107,44,50
36,815,134,243
37,984,58,49
38,590,77,125
39,416,80,125
40,799,39,51
41,145,80,127
42,883,94,170
43,683,80,125
44,968,96,165
45,203,89,174
46,4,40,49
47,272,44,50
48,141,81,124
49,852,44,49
50,899,79,122
51,287,135,248
52,862,61,98
53,597,130,248
54,608,81,122
55,337,79,118
0,13,56,48
1,553,93,47
2,337,83,113
3,25,126,233
4,416,81,118
5,262,80,115
6,637,60,47
7,608,82,114
8,137,42,48
9,470,59,93
10,597,131,227
11,143,56,92
12,968,98,153
13,208,59,45
14,304,90,164
15,574,59,47
16,649,129,232
17,764,60,46
18,383,41,118
19,190,46,46
20,815,136,225
21,814,131,238
22,459,80,113
23,852,45,47
24,107,45,47
25,270,90,156
26,141,82,116
27,899,80,114
28,862,62,92
29,272,45,47
30,601,58,91
31,871,79,117
32,353,44,48
33,883,95,159
34,544,59,47
35,44,44,46
36,4,40,46
37,590,78,118
38,683,81,118
39,201,81,112
40,145,81,122
41,799,40,48
42,472,43,160
43,665,54,92
44,923,43,91
45,181,82,119
46,109,81,116
47,542,59,92
48,287,137,234
49,554,44,114
50,984,60,47
51,653,89,162
52,578,93,158
53,802,79,95
54,203,90,164
55,302,58,114
0,802,81,91
1,574,60,45
2,287,137,218
3,141,82,107
4,578,94,146
5,814,132,225
6,984,60,46
7,923,45,86
8,304,90,154
9,470,59,86
10,353,44,45
11,608,82,106
12,145,81,116
13,337,83,108
14,143,57,86
15,597,138,212
16,44,44,42
17,815,142,212
18,181,82,114
19,862,62,86
20,383,41,109
21,553,95,45
22,203,90,153
23,302,60,108
24,665,54,83
25,416,81,110
26,871,81,111
27,4,41,43
28,544,61,44
29,637,60,45
30,472,44,152
31,208,61,42
32,459,83,107
33,590,80,113
34,270,95,147
35,653,89,150
36,649,136,222
37,13,57,45
38,899,80,108
39,107,45,45
40,799,41,46
41,137,43,45
42,968,102,145
43,201,81,106
44,190,46,43
45,109,81,108
46,542,61,85
47,272,46,45
48,883,96,147
49,554,45,108
50,601,58,85
51,25,126,218
52,764,60,43
53,262,80,108
0,883,100,138
1,597,138,196
2,201,81,98
3,608,82,96
4,815,142,199
5,190,46,41
6,416,85,104
7,13,57,43
8,137,44,43
9,590,80,108
10,383,43,104
11,141,84,100
12,287,137,206
13,554,45,102
14,862,62,81
15,262,80,102
16,304,90,144
17,353,44,44
18,653,94,141
19,143,60,82
20,799,41,45
21,637,61,43
22,107,45,43
23,601,58,80
24,899,80,100
25,270,95,138
26,109,84,102
27,649,136,212
28,208,64,40
29,764,60,41
30,574,60,43
31,44,44,40
32,203,90,141
33,542,61,78
34,871,81,104
35,472,44,144
36,553,95,44
37,25,126,205
38,665,56,76
39,181,82,110
40,145,81,110
41,814,132,210
42,470,62,82
43,544,61,42
44,272,46,42
45,802,81,87
46,984,60,44
47,578,98,138
48,302,60,103
49,337,83,104
50,4,43,40
51,459,83,102
52,968,102,136
53,923,45,82
0,802,81,83
1,4,43,38
2,637,61,41
3,601,58,75
4,764,61,39
5,44,44,37
6,578,98,130
7,107,45,40
8,145,81,104
9,544,61,40
10,337,83,100
11,590,80,104
12,665,59,70
