,hotel_id,price,stock
0,275,99,111
1,693,223,274
2,184,230,281
3,219,156,197
4,11,160,195
5,64,75,111
6,662,156,195
7,382,139,138
8,810,99,112
9,979,138,140
10,173,101,111
11,403,231,280
12,195,132,56
13,613,156,195
14,87,159,195
15,626,98,112
16,511,159,197
17,343,74,55
18,33,134,142
19,875,97,55
20,661,98,112
21,931,160,196
22,239,230,280
23,167,73,56
24,457,135,55
25,940,137,140
26,446,98,56
27,266,72,55
28,226,98,112
29,848,163,196
30,646,97,110
31,128,156,195
32,699,100,112
33,565,233,277
34,962,131,112
35,245,134,56
36,635,97,112
37,8,100,112
38,530,98,56
39,839,164,195
40,37,163,193
41,920,96,112
42,210,99,113
43,220,70,111
44,919,70,56
45,801,163,195
46,438,100,56
47,462,74,56
48,755,73,56
49,652,97,112
50,35,76,56
51,943,158,196
52,57,138,140
53,236,76,56
54,610,73,56
55,255,163,197
56,524,164,196
57,231,136,57
58,675,97,56
59,494,163,194
60,928,76,56
61,26,158,195
62,428,100,111
63,171,69,114
64,977,104,111
65,535,134,140
66,63,135,139
67,315,232,278
68,692,232,277
69,179,102,110
70,784,100,112
71,456,139,142
72,927,158,197
73,292,164,196
74,116,98,56
75,98,138,137
76,775,72,55
77,682,131,56
78,713,156,195
79,368,70,56
80,833,134,139
81,426,98,113
82,250,230,282
83,730,164,194
84,996,98,112
85,15,232,276
86,672,158,196
87,68,135,138
88,268,99,113
89,372,97,112
90,704,100,56
91,877,75,56
92,666,75,112
93,753,139,139
94,263,103,112
95,924,135,142
96,549,97,55
97,70,163,195
98,890,72,56
99,846,160,193
100,703,139,140
101,354,96,56
102,336,100,111
103,152,158,195
104,278,102,56
105,168,228,280
0,675,102,52
1,37,171,183
2,652,101,106
3,753,146,132
4,810,104,106
5,336,105,105
6,63,141,131
7,68,141,130
8,33,134,134
9,226,103,106
10,255,164,182
11,919,71,53
12,704,104,53
13,268,99,105
14,57,141,130
15,128,164,184
16,755,78,52
17,928,79,52
18,931,168,186
19,382,146,129
20,699,105,105
21,979,138,130
22,275,104,104
23,168,240,264
24,184,231,261
25,35,80,53
26,210,99,106
27,266,75,52
28,943,166,183
29,940,137,130
30,438,102,53
31,839,172,186
32,511,159,186
33,8,105,106
34,962,134,106
35,927,158,185
36,890,75,52
37,920,98,105
38,626,102,106
39,801,171,184
40,666,77,107
41,549,102,53
42,231,136,54
43,236,77,52
44,372,97,104
45,456,139,134
46,368,71,53
47,924,135,133
48,662,164,186
49,220,73,105
50,278,107,52
51,713,164,183
52,730,172,183
53,171,69,107
54,446,103,52
55,635,101,106
56,15,244,258
57,530,101,53
58,250,231,265
59,775,75,52
60,877,78,53
61,457,139,51
62,848,171,186
63,173,106,105
64,610,75,53
65,245,138,54
66,98,145,128
67,613,164,184
68,219,156,184
69,565,245,259
70,524,172,186
71,354,96,53
72,263,108,106
73,672,166,186
74,87,167,186
75,11,168,186
76,116,103,53
77,494,171,183
78,833,140,130
79,26,166,184
80,426,98,106
81,428,105,106
82,996,102,106
83,784,102,105
84,239,241,266
85,535,137,133
86,703,139,130
87,195,135,52
88,646,102,104
89,462,75,52
90,692,244,263
91,403,242,263
92,343,77,53
93,977,109,104
94,64,78,105
95,179,107,104
96,315,244,262
97,167,78,53
98,875,102,52
99,661,98,104
100,682,134,53
101,70,171,186
102,292,165,183
103,846,168,181
104,152,166,186
105,693,234,258
0,996,105,101
1,801,177,172
2,530,104,51
3,315,252,243
4,931,173,173
5,403,250,245
6,704,108,50
7,226,106,99
8,266,78,49
9,268,108,100
10,661,105,98
11,236,79,48
12,343,80,50
13,37,177,174
14,692,252,251
15,35,82,50
16,11,173,177
17,672,171,174
18,168,248,248
19,68,146,124
20,292,170,169
21,875,105,49
22,833,145,121
23,890,78,49
24,549,105,50
25,336,109,97
26,699,109,99
27,382,150,122
28,494,177,174
29,116,106,50
30,152,171,178
31,171,71,100
32,635,104,102
33,810,108,101
34,231,141,51
35,446,106,49
36,610,78,50
37,456,144,126
38,255,177,172
39,275,108,98
40,457,146,48
41,428,109,101
42,167,80,50
43,57,152,122
44,682,139,50
45,646,105,98
46,713,169,172
47,426,101,100
48,848,177,176
49,179,111,96
50,977,113,97
51,87,172,177
52,220,75,101
53,693,241,240
54,524,178,176
55,626,105,100
56,195,143,49
57,943,171,168
